Date,Income/Expenses,Category,Memo,Amount
2019-07-06,Expenses,Gift,紅包,-2000
2019-07-05,Expenses,Food,午餐,-124
2019-07-04,Expenses,Food,午餐,-90
2019-07-03,Expenses,Drinks,楊桃湯,-30
2019-07-03,Expenses,Food,午餐,-75
2019-07-02,Expenses,Drinks,茶湯會,-39
2019-07-02,Expenses,Food,午餐,-60
2019-07-01,Expenses,Gas,機車95,-150
2019-07-01,Expenses,Food,午餐,-95
2019-06-29,Expenses,Food,早午餐,-140
2019-06-29,Expenses,Food,晚餐,-290
2019-06-27,Expenses,Entertainment,全軍破敵：三國,-1597
2019-06-27,Expenses,Drinks,雙妃奶茶,-45
2019-06-27,Expenses,Food,午餐,-110
2019-06-27,Expenses,Drinks,奶茶,-33
2019-06-25,Expenses,Food,午餐,-85
2019-06-25,Expenses,Drinks,奶茶,-10
2019-06-24,Expenses,Food,午餐,-70
2019-06-23,Expenses,Food,晚餐,-70
2019-06-23,Expenses,"Contact Lens ,Glasses",眼鏡訂金,-3000
2019-06-23,Expenses,Drinks,拿鐵,-75
2019-06-23,Expenses,Food,午餐,-100
2019-06-23,Expenses,Daily commodies,雨衣,-39
2019-06-22,Expenses,Food,午餐,-65
2019-06-21,Expenses,Drinks,凍檸茶,-30
2019-06-21,Expenses,Food,午餐,-75
2019-06-20,Expenses,Food,午餐,-90
2019-06-19,Expenses,Drinks,雙妃奶茶,-45
2019-06-19,Expenses,Food,午餐,-75
2019-06-18,Expenses,Food,冰炫風,-56
2019-06-18,Expenses,Food,午餐,-85
2019-06-17,Expenses,Drinks,楊桃湯,-30
2019-06-17,Expenses,Food,午餐,-75
2019-06-15,Expenses,Drinks,桂花烏龍,-70
2019-06-15,Expenses,Food,早午餐,-125
2019-06-15,Expenses,Food,丸龜,-146
2019-06-15,Expenses,Gas,機車95,-145
2019-06-14,Expenses,Drinks,凍檸茶,-30
2019-06-14,Expenses,Food,午餐,-85
2019-06-13,Expenses,Drinks,比菲多,-30
2019-06-13,Expenses,Drinks,冰糖薏仁,-40
2019-06-13,Expenses,Food,午餐,-65
2019-06-12,Expenses,Food,午餐,-100
2019-06-11,Expenses,Food,午餐,-49
2019-06-11,Expenses,Drinks,小饅頭鮮乳,-35
2019-06-10,Expenses,Drinks,凍檸茶,-30
2019-06-10,Expenses,Food,午餐,-80
2019-06-07,Expenses,Drinks,拿鐵,-70
2019-06-07,Expenses,Gift,果蜜金桔,-342
2019-06-07,Expenses,Drinks,葵米,-65
2019-06-06,Expenses,Drinks,老虎堂,-50
2019-06-06,Expenses,Food,晚餐,-60
2019-06-05,Expenses,Food,午餐,-75
2019-06-04,Expenses,Food,晚餐 千房,-649
2019-06-04,Expenses,Drinks,優鮮沛,-30
2019-06-04,Expenses,Food,午餐,-100
2019-06-03,Expenses,"Contact Lens ,Glasses",酷柏雙週,-230
2019-06-03,Expenses,Food,冰炫風,-60
2019-06-03,Expenses,Food,午餐,-120
